"","ALFL","AMDI","AMPI","AMRO","AMWI","ATSP","BARS","BBMA","BCCH","BLPW","BOCH","BOWA","BRSP","CHSP","CLSW","CORA","CORE","COYE","DEJU","DUFL","FOSP","GCKI","GCRF","GCSP","GCTH","GRAJ","HAFL","HETH","HOLA","LESC","LEYE","LISP","MEGU","MGWA","MOBL","NOFL","NOWA","NSHR","OCWA","OSFL","PAWR","PIGR","PISI","RCKI","RECR","ROPT","RTHA","RUGR","SAPH","SAVS","SEOW","SEPL","SOSA","SPGR","STJA","SWTH","TEWA","TOSO","TOWA","TTWO","UTBB","VATH","VGSW","WCSP","WIPT","WISN","WIWA","WIWR","WOOD","WWCR","YBFL","YRWA","YWAR","location","site","zone","stat_num","Site_Zone"
"DANE_B6_2019_6_25_6:19_HO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"DANE_B6","DANE","B","6","DANE_B"
"DANE_B6_2019_7_26_6:46_HO",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,"DANE_B6","DANE","B","6","DANE_B"
"DANE_S1_2019_6_25_6:49_HO",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"DANE_S1","DANE","S","1","DANE_S"
"DANE_S1_2019_7_26_7:21_HO",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,"DANE_S1","DANE","S","1","DANE_S"
"DANE_S2_2019_6_25_7:31_HO",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"DANE_S2","DANE","S","2","DANE_S"
"DANE_S2_2019_7_26_7:53_HO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"DANE_S2","DANE","S","2","DANE_S"
"DANE_S3_2019_6_25_8:3_HO",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,"DANE_S3","DANE","S","3","DANE_S"
"DANE_S3_2019_7_26_8:29_HO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DANE_S3","DANE","S","3","DANE_S"
"DANE_S4_2019_6_25_6:27_HO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,"DANE_S4","DANE","S","4","DANE_S"
"DANE_S5_2019_6_25_6:57_HO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"DANE_S5","DANE","S","5","DANE_S"
